City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Margherita,IN,2022-04-04 00:15:18,27.2833,95.6833,68.67,98,100,1.36
121,Geraldton,AU,2022-04-04 00:15:18,-28.7667,114.6,73.81,73,100,14.97
122,Kousseri,CM,2022-04-04 00:15:18,12.0769,15.0306,84.16,16,73,5.75
123,Chuy,UY,2022-04-04 00:15:19,-33.6971,-53.4616,63.45,93,83,4.68
124,Tasiilaq,GL,2022-04-04 00:15:19,65.6145,-37.6368,21.36,95,98,8.1
125,General Roca,AR,2022-04-04 00:15:19,-39.0333,-67.5833,58.68,24,69,11.68
126,Hilo,US,2022-04-04 00:15:20,19.7297,-155.09,76.24,90,100,14.0
127,Sumenep,ID,2022-04-04 00:15:20,-7.0167,113.8667,80.83,78,16,1.61
128,Sibu,MY,2022-04-04 00:10:43,2.3,111.8167,75.96,94,65,1.83
129,Mar Del Plata,AR,2022-04-04 00:15:21,-38.0023,-57.5575,57.87,60,0,8.99
130,Jamestown,US,2022-04-04 00:15:21,42.097,-79.2353,35.19,71,100,10.36
131,Meulaboh,ID,2022-04-04 00:15:21,4.1363,96.1285,74.61,84,99,3.02
132,Buchanan,LR,2022-04-04 00:15:22,5.8808,-10.0467,78.57,88,79,3.67
133,Pacific Grove,US,2022-04-04 00:15:22,36.6177,-121.9166,72.25,68,0,12.66
134,Makakilo City,US,2022-04-04 00:16:23,21.3469,-158.0858,82.72,58,40,24.16
135,Bredasdorp,ZA,2022-04-04 00:13:13,-34.5322,20.0403,59.43,93,27,1.81
136,Jining,CN,2022-04-04 00:16:23,35.405,116.5814,52.14,64,65,12.93
137,Genhe,CN,2022-04-04 00:16:24,50.7833,121.5167,25.7,46,81,6.42
138,Cidreira,BR,2022-04-04 00:16:24,-30.1811,-50.2056,69.19,97,100,9.71
139,Ribeira Grande,PT,2022-04-04 00:16:25,38.5167,-28.7,60.46,77,74,11.5
140,Port Hardy,CA,2022-04-04 00:15:27,50.6996,-127.4199,44.78,81,75,6.91
141,Kununurra,AU,2022-04-04 00:16:25,-15.7667,128.7333,82.38,54,11,4.61
142,Asau,RO,2022-04-04 00:16:26,46.4333,26.4,32.92,95,100,2.44
143,Mahebourg,MU,2022-04-04 00:13:10,-20.4081,57.7,79.25,83,52,11.45
144,Hattiesburg,US,2022-04-04 00:15:58,31.3271,-89.2903,75.49,45,0,3.44
