City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Hermanus,ZA,-34.4187,19.2345,56.8,88,4,2.33,clear sky
142,Mount Gambier,AU,-37.8333,140.7667,60.71,72,100,8.05,overcast clouds
143,Fortuna,US,40.5982,-124.1573,56.93,68,0,9.22,clear sky
144,Stornoway,GB,58.2093,-6.3865,49.96,94,100,24.16,light intensity drizzle
145,Namibe,AO,-15.1961,12.1522,70.52,79,92,8.03,overcast clouds
146,Lillooet,CA,50.6856,-121.942,47.34,71,79,5.99,broken clouds
147,Abalak,RU,58.1286,68.5944,35.69,94,100,9.37,overcast clouds
148,Banda Aceh,ID,5.5577,95.3222,79.81,75,90,3.56,overcast clouds
149,Antofagasta,CL,-23.65,-70.4,64.4,76,44,5.46,scattered clouds
150,Tessalit,ML,20.1986,1.0114,84.76,9,5,4.41,clear sky
151,Laguna,US,38.421,-121.4238,81.39,27,0,12.66,clear sky
152,Lagoa,PT,39.05,-27.9833,58.89,75,93,15.14,overcast clouds
153,Pasco,US,28.292,-82.4165,73.29,72,0,6.76,clear sky
154,Pandan,PH,14.0453,124.1694,82.47,69,100,14.56,overcast clouds
155,Grindavik,IS,63.8424,-22.4338,37.87,100,75,3.44,broken clouds
156,Muzhi,RU,65.3667,64.6667,21.27,95,100,16.26,light snow
157,Eydhafushi,MV,5.1033,73.0708,82.83,66,7,2.26,clear sky
158,Kudahuvadhoo,MV,2.6708,72.8944,83.01,61,8,1.95,clear sky
159,Manuk Mangkaw,PH,4.8,119.85,82.33,72,23,7.38,few clouds
160,Port Saint Lucie,US,27.2939,-80.3503,71.98,73,100,3.44,overcast clouds
161,Longyearbyen,SJ,78.2186,15.6401,8.44,52,20,26.46,few clouds
162,Hays,US,30.0502,-98.0336,78.94,43,1,1.99,clear sky
163,Kamiiso,JP,41.8167,140.65,48.58,46,20,3.44,few clouds
164,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.04,97,100,0.83,overcast clouds
