City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Zhanaozen,KZ,53.33,scattered clouds,43.3,52.8,K.korabay 28A
121,Santa Isabel,BR,70.9,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
122,Codrington,AU,64.15,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
123,Saint George,US,73.99,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
124,Novo Aripuana,BR,73.54,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
125,Alta Floresta,BR,72.1,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
126,Port Blair,IN,80.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
127,Kemijarvi,FI,13.8,light snow,66.7131,27.4306,Hotelli Kemijärvi
128,Te Anau,NZ,67.82,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
130,Cururupu,BR,75.06,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
131,Sur,OM,81.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
132,Yenagoa,NG,77.74,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
133,Port Elizabeth,ZA,62.31,few clouds,-33.918,25.5701,39 On Nile Guest House
134,Bredasdorp,ZA,58.71,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
135,Ust-Tsilma,RU,19.76,light snow,65.441,52.1498,U Praskov'i
136,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
137,Kavieng,PG,84.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
138,Escanaba,US,35.56,clear sky,45.7453,-87.0646,Sunset Lodge
139,Roros,NO,21.04,overcast clouds,62.5747,11.3842,Erzscheidergården
140,Senj,HR,43.47,scattered clouds,44.9894,14.9058,Roza Guest House
141,Hermanus,ZA,56.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
142,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
143,Fortuna,US,56.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
144,Stornoway,GB,49.96,light intensity drizzle,58.2093,-6.3865,Caladh Inn
145,Namibe,AO,70.52,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
146,Lillooet,CA,47.34,broken clouds,50.6856,-121.942,Hotel Victoria
147,Abalak,RU,35.69,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
148,Banda Aceh,ID,79.81,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
149,Antofagasta,CL,64.4,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
151,Laguna,US,81.39,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
152,Lagoa,PT,58.89,overcast clouds,39.05,-27.9833,Casa Das Faias
153,Pasco,US,73.29,clear sky,28.292,-82.4165,Connection Community/Park
154,Pandan,PH,82.47,overcast clouds,14.0453,124.1694,Bonifacio Lodge
